,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,1,68,190.0,94.0,29.0,105.0,40.8,231.0
1,0,20,166.0,60.0,14.0,94.0,40.3,66.0
2,1,69,179.0,79.0,5.0,88.0,38.7,26.0
3,0,34,179.0,71.0,13.0,100.0,40.5,71.0
4,0,27,154.0,58.0,10.0,81.0,39.8,35.0
5,0,36,151.0,50.0,23.0,96.0,40.7,123.0
6,0,33,158.0,56.0,22.0,95.0,40.5,112.0
7,1,41,175.0,85.0,25.0,100.0,40.7,143.0
8,1,60,186.0,94.0,21.0,97.0,40.4,134.0
9,0,26,146.0,51.0,16.0,90.0,40.2,72.0
10,0,36,177.0,76.0,1.0,74.0,37.8,3.0
11,0,21,157.0,56.0,17.0,100.0,40.0,92.0
12,1,66,171.0,79.0,11.0,90.0,40.0,58.0
13,0,32,157.0,54.0,18.0,93.0,40.4,88.0
14,1,53,182.0,85.0,2.0,82.0,38.1,7.0
15,0,39,156.0,62.0,28.0,104.0,40.8,170.0
16,1,39,182.0,82.0,4.0,82.0,38.6,11.0
17,1,46,169.0,67.0,11.0,89.0,40.2,43.0
18,0,27,171.0,65.0,4.0,85.0,38.6,15.0
19,1,50,188.0,86.0,14.0,94.0,40.2,74.0
20,1,67,189.0,93.0,8.0,77.0,39.2,29.0
21,0,31,148.0,50.0,8.0,84.0,39.5,32.0
22,0,33,157.0,60.0,3.0,80.0,38.7,10.0
23,0,20,165.0,59.0,29.0,100.0,41.0,155.0
24,1,48,182.0,85.0,1.0,80.0,37.7,3.0
25,1,29,176.0,75.0,10.0,83.0,39.7,24.0
26,1,33,173.0,73.0,7.0,78.0,39.3,12.0
27,1,42,190.0,88.0,3.0,83.0,38.9,10.0
28,0,62,159.0,59.0,29.0,106.0,41.2,195.0
29,1,38,171.0,75.0,2.0,81.0,38.2,5.0
30,1,20,183.0,88.0,16.0,97.0,40.5,69.0
31,0,25,160.0,59.0,24.0,102.0,40.3,136.0
32,0,24,165.0,59.0,18.0,91.0,40.2,80.0
33,0,42,165.0,68.0,22.0,93.0,40.8,107.0
34,1,22,182.0,84.0,29.0,114.0,41.0,200.0
35,0,74,158.0,59.0,10.0,93.0,39.6,56.0
36,0,70,154.0,59.0,10.0,88.0,40.0,50.0
37,0,26,182.0,80.0,21.0,96.0,40.5,100.0
38,1,44,184.0,86.0,25.0,114.0,40.8,200.0
39,1,61,183.0,86.0,1.0,81.0,38.3,4.0
40,0,68,157.0,57.0,13.0,92.0,40.1,70.0
41,0,61,176.0,70.0,20.0,104.0,40.5,127.0
42,1,63,179.0,80.0,25.0,108.0,40.8,197.0
43,0,54,171.0,66.0,20.0,98.0,40.1,113.0
44,0,54,169.0,66.0,3.0,80.0,38.9,11.0
45,0,47,155.0,55.0,16.0,93.0,40.5,82.0
46,1,33,184.0,86.0,8.0,86.0,39.9,26.0
47,0,24,171.0,66.0,24.0,105.0,40.6,141.0
48,1,24,195.0,98.0,20.0,96.0,40.6,92.0
49,1,48,152.0,59.0,2.0,79.0,38.0,5.0
50,1,35,193.0,93.0,10.0,83.0,39.7,30.0
51,1,21,168.0,71.0,3.0,78.0,38.5,3.0
52,0,21,179.0,73.0,9.0,90.0,39.6,37.0
